"Genetic defect","cluster","Tcell","Bcell","Ig","Neutrophil","new_PID_classification","new_PID_classification_descriptive"
"CD247","3","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"CD3D","3","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"CD3E","3","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"CORO1A","3","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"IL2RG","1","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"IL7R","1","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"ITPKB","3","not_normal","normal","not_normal","not_normal","Group_12","Group_12_Tcell_Neutrophil"
"JAK3","1","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"LAT","3","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"LCP2","3","not_normal","normal","not_normal","not_normal","Group_12","Group_12_Tcell_Neutrophil"
"PTPRC","3","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"ADA","14","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"AK2","2","not_normal","not_normal","not_normal","not_normal","Group_17","Group_17_Tcell_Bcell_Ig_Neutrophil"
"DCLRE1C","6","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"LIG4","6","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"NHEJ1","6","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"NUDCD3","6","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"PRKDC","6","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"RAC2","8","not_normal","not_normal","not_normal","not_normal","Group_17","Group_17_Tcell_Bcell_Ig_Neutrophil"
"RAG1","5","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"RAG2","5","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"B2M","3","not_normal","normal","normal","normal","Group_11","Group_11_Tcell"
"BCL10","2","not_normal","not_normal","normal","normal","Group_14","Group_14_Tcell_Bcell"
"CARD11","2","not_normal","normal","normal","normal","Group_11","Group_11_Tcell"
"CD3G","3","not_normal","normal","normal","normal","Group_11","Group_11_Tcell"
"CD40","2","normal","not_normal","not_normal","not_normal","Group_5","Group_5_Bcell_Ig_Neutrophil"
"CD40LG","3","not_normal","not_normal","not_normal","not_normal","Group_17","Group_17_Tcell_Bcell_Ig_Neutrophil"
"CD8A","3","not_normal","normal","normal","normal","Group_11","Group_11_Tcell"
"CHUK","2","normal","not_normal","not_normal","normal","Group_4","Group_4_Ig"
"CIITA","10","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"COPG1","8","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
"DOCK2","3","not_normal","normal","not_normal","normal","Group_11","Group_11_Tcell"
"DOCK8","3","not_normal","not_normal","not_normal","normal","Group_16","Group_16_Tcell_Bcell_Ig"
